home_team,away_team,base_home,base_draw,base_away,adjusted_home,adjusted_draw,adjusted_away,final_home,final_draw,final_away,max_abs_shift_pre_draw,sum_abs_shift_pre_draw,max_abs_shift_final,base_argmax,adjusted_argmax,final_argmax,argmax_changed_pre_draw,argmax_changed_final,squad_top26_diff,tm_market_value_log_diff,tm_caps_diff,tm_recent_injury_days_diff,context_shift
Senegal,Bosnia and Herzegovina,0.834874,0.162276,0.00285,0.840435,0.149899,0.009665,0.840435,0.149899,0.009665,0.012377,0.024754,0.012377,casa,casa,casa,False,False,4.038462,1.130511,-0.192518,0.039422,0.0
Algeria,Switzerland,0.567871,0.423623,0.008506,0.557315,0.421863,0.020822,0.557315,0.421863,0.020822,0.012316,0.024632,0.012316,casa,casa,casa,False,False,-2.0,-0.044632,-0.221907,-0.555094,0.0
Austria,Croatia,0.577907,0.409589,0.012504,0.567219,0.407979,0.024802,0.567219,0.407979,0.024802,0.012298,0.024595,0.012298,casa,casa,casa,False,False,-1.538462,-0.410975,0.119487,-0.125815,0.0
Senegal,Ecuador,0.652182,0.340139,0.007679,0.662313,0.327886,0.009801,0.662313,0.327886,0.009801,0.012253,0.024506,0.012253,casa,casa,casa,False,False,3.461538,0.414518,0.09839,-0.101403,0.0
Austria,Bosnia and Herzegovina,0.799946,0.196584,0.00347,0.805976,0.184339,0.009685,0.805976,0.184339,0.009685,0.012245,0.02449,0.012245,casa,casa,casa,False,False,3.846154,0.488366,0.284961,-0.142563,0.0
Argentina,Sweden,0.880014,0.118109,0.001877,0.884484,0.105886,0.009629,0.884484,0.105886,0.009629,0.012223,0.024446,0.012223,casa,casa,casa,False,False,5.076923,0.53299,-0.095818,0.110922,0.0
England,Belgium,0.736327,0.259808,0.003864,0.742672,0.247596,0.009732,0.742672,0.247596,0.009732,0.012212,0.024424,0.012212,casa,casa,casa,False,False,2.923077,1.012264,0.172907,0.162119,0.0
Czechia,Senegal,0.559053,0.428444,0.012503,0.548579,0.426713,0.024708,0.548579,0.426713,0.024708,0.012205,0.024409,0.012205,casa,casa,casa,False,False,-1.346154,-0.999083,0.418556,-0.327104,0.0
Algeria,Korea Republic,0.624883,0.364075,0.011042,0.637076,0.353108,0.009816,0.637076,0.353108,0.009816,0.012193,0.024385,0.012193,casa,casa,casa,False,False,2.346154,0.844903,-0.119841,-0.293455,0.0
Uzbekistan,Curaçao,0.87733,0.12035,0.00232,0.882155,0.108157,0.009687,0.882155,0.108157,0.009687,0.012192,0.024385,0.012192,casa,casa,casa,False,False,4.866667,-1.399054,0.20695,-0.928339,0.0
