team,stage,runs,probability,lower_95,upper_95,margin_95
New Zealand,Group Stage,10000,1.0,1.0,1.0,0.0
New Zealand,Round of 32,10000,0.6161,0.606568,0.625632,0.009532
New Zealand,Round of 16,10000,0.1485,0.14153,0.15547,0.00697
New Zealand,Quarter-finals,10000,0.0029,0.001846,0.003954,0.001054
New Zealand,Semi-finals,10000,0.0002,0.0,0.000477,0.000277
New Zealand,Final,10000,0.0,0.0,0.0,0.0
New Zealand,Champion,10000,0.0,0.0,0.0,0.0
Spain,Group Stage,10000,1.0,1.0,1.0,0.0
Spain,Round of 32,10000,0.9949,0.993504,0.996296,0.001396
Spain,Round of 16,10000,0.6176,0.608075,0.627125,0.009525
Spain,Quarter-finals,10000,0.1677,0.160377,0.175023,0.007323
Spain,Semi-finals,10000,0.164,0.156743,0.171257,0.007257
Spain,Final,10000,0.0269,0.023729,0.030071,0.003171
Spain,Champion,10000,0.0188,0.016138,0.021462,0.002662
Cape Verde Islands,Group Stage,10000,1.0,1.0,1.0,0.0
Cape Verde Islands,Round of 32,10000,0.2719,0.263179,0.280621,0.008721
Cape Verde Islands,Round of 16,10000,0.0078,0.006076,0.009524,0.001724
Cape Verde Islands,Quarter-finals,10000,0.0011,0.00045,0.00175,0.00065
Cape Verde Islands,Semi-finals,10000,0.0001,0.0,0.000296,0.000196
Cape Verde Islands,Final,10000,0.0,0.0,0.0,0.0
Cape Verde Islands,Champion,10000,0.0,0.0,0.0,0.0
Saudi Arabia,Group Stage,10000,1.0,1.0,1.0,0.0
Saudi Arabia,Round of 32,10000,0.2105,0.20251,0.21849,0.00799
Saudi Arabia,Round of 16,10000,0.0105,0.008502,0.012498,0.001998
Saudi Arabia,Quarter-finals,10000,0.0018,0.000969,0.002631,0.000831
Saudi Arabia,Semi-finals,10000,0.0013,0.000594,0.002006,0.000706
Saudi Arabia,Final,10000,0.0,0.0,0.0,0.0
Saudi Arabia,Champion,10000,0.0,0.0,0.0,0.0
Uruguay,Group Stage,10000,1.0,1.0,1.0,0.0
Uruguay,Round of 32,10000,0.9601,0.956264,0.963936,0.003836
Uruguay,Round of 16,10000,0.447,0.437255,0.456745,0.009745
