match_number,group,home_team,away_team,p_home_win_90,p_draw_90,p_away_win_90,p_xgb_home_win_90,p_xgb_draw_90,p_xgb_away_win_90,p_pre_draw_home_win_90,p_pre_draw_draw_90,p_pre_draw_away_win_90,p_poisson_home_win_90,p_poisson_draw_90,p_poisson_away_win_90,p_home_advances,p_away_advances,p_home_advances_if_draw,home_xg,away_xg,context_shift,home_rest_days,away_rest_days,home_travel_km,away_travel_km,neutral_order_symmetrized,squad_top26_diff,attack_strength_diff,midfield_strength_diff,defense_strength_diff,gk_strength_diff,market_value_log_diff,age_diff,tm_market_value_log_diff,tm_caps_diff,tm_recent_injury_days_diff,tm_injury_value_log_diff,tm_coverage_diff
22,L,England,Croatia,0.45082096106639935,0.30000000000000004,0.24917903893360066,0.4546604210731575,0.29267741558003796,0.2526621633468045,0.4490839974697425,0.3026970230372245,0.248218979493033,0.45375744877355517,0.29039016106906135,0.25585239015738354,0.6212718126163734,0.37872818738362657,0.56816950516658,1.774998032059039,1.0949606200535533,0.0,5.0,5.0,0.0,0.0,True,5.230769230769226,7.375,4.75,5.5,4.0,1.2378615401583772,-1.73076923076923,1.5267461946774894,0.19216716340116857,0.2674793651342613,1.7228459607541176,1.6354093830069578
23,L,Ghana,Panama,0.15975916046370617,0.24926757274496458,0.5909732667913292,0.1592685654759407,0.24340670555830002,0.5973247289657593,0.15975916046370614,0.24926757274496458,0.5909732667913292,0.18826832097613322,0.24571525289868473,0.5660164261251821,0.27272379762539956,0.7272762023746004,0.45318625249852273,1.1644898330439757,1.6274344855286598,0.0,5.0,5.0,0.0,0.0,True,8.725641025641025,13.0,12.25,11.785714285714292,-4.666666666666671,2.375014888257315,0.3974358974358978,2.8162637588804174,0.2276178317091304,0.8314470238065059,3.475350971171327,2.8008319345531763
24,K,Uzbekistan,Colombia,0.09599607870585003,0.20268892055144436,0.7013150007427056,0.09344130824090024,0.19001107804485468,0.716547613714245,0.09599607870585003,0.20268892055144436,0.7013150007427056,0.1125796628443465,0.19647334142886771,0.6909469957267858,0.16761066055154109,0.8323893394484589,0.3533226268651157,0.7317663542387365,2.2198372777240523,0.0,5.0,5.0,0.0,0.0,True,-8.215384615384608,-10.75,-11.916666666666671,-5.375,-2.2249999999999943,-2.409526328819137,-6.323076923076922,-2.152172716363136,0.24221021390347452,-1.5700353645680716,-3.455430561027889,-3.0690635466395406
25,A,Czechia,South Africa,0.5388233683119695,0.28069400028215097,0.18048263140587947,0.5475007552839759,0.2731793651492941,0.17931987956672996,0.5388233683119695,0.28069400028215097,0.18048263140587953,0.5416823280965224,0.2530864286397757,0.20523124326370196,0.7110808750384925,0.2889191249615075,0.6136843201257289,2.002788433634489,0.8640416221609026,-0.008667134272712266,6.5,6.791666666666667,2364.139629472349,2143.732889742877,True,10.442307692307693,11.535714285714292,8.875,7.583333333333329,5.693181818181813,2.312680948579967,3.1586538461538467,1.9130354098043156,1.3998736192462715,0.510437198824226,2.009122772890569,1.9819165215459575
26,B,Switzerland,Bosnia and Herzegovina,0.6969549642938251,0.19894366881131154,0.1041013668948634,0.6970594979165382,0.19299781753862985,0.10994268454483191,0.696954964293825,0.19894366881131154,0.10410136689486338,0.6692312157119041,0.21779817856549494,0.11297060572260088,0.82329256951011,0.17670743048989002,0.6350420999630304,2.0236660642870747,0.6873812189477678,0.015439434488093276,5.0,6.125,543.6625393803009,3494.5074440097783,True,5.15384615384616,1.125,5.25,4.75,13.625,1.140550971995605,0.1923076923076934,0.8192984625299466,0.1986924554500451,0.3692701158714202,1.0492543106724703,1.2372309955626948
27,B,Canada,Qatar,0.7699857374863465,0.14450675945906458,0.08550750305458901,0.7563443268426991,0.14382814031647304,0.09982753284082785,0.7699857374863464,0.14450675945906458,0.08550750305458901,0.7099210981905706,0.18678114354910752,0.10329775826032195,0.8636003940240858,0.13639960597591416,0.6478219903911013,2.20328445777042,0.7089322445767123,0.0960534256913462,6.25,5.125,3345.6924525673835,1288.7366730054214,True,4.346153846153854,4.25,2.0,7.375,2.625,19.098841187279486,-1.6153846153846168,2.6629506523819373,0.07776896837157832,0.6215219683022433,3.657929881136031,0.5092048778682567
28,A,Mexico,Korea Republic,0.47373704026292923,0.28419098724973124,0.24207197248733953,0.4330507665872574,0.283473864197731,0.2834753692150116,0.4737370402629293,0.28419098724973124,0.2420719724873396,0.4274041335888543,0.2761811917807486,0.296414674630397,0.628460559959383,0.371539440040617,0.5444349984276289,1.6795907715439706,1.235072098090025,0.0999299288115735,7.25,6.958333333333333,459.15368502576496,0.0,True,1.8076923076923066,2.5,1.125,2.25,-2.589285714285708,-0.39353874022914326,-1.6538461538461533,0.42270140876075146,-0.0610358905863686,-0.1324106931908524,0.30076392669164065,1.1449383116094518
29,D,USA,Australia,0.3890217125127183,0.2772756616097699,0.3337026258775118,0.337850669952472,0.2674615343293319,0.3946877957181961,0.3890217125127184,0.2772756616097699,0.33370262587751187,0.347692163154413,0.280621538648657,0.37168629819693005,0.5332419835397487,0.4667580164602513,0.5201331778986142,1.534125871339977,1.3337698127087223,0.10536800607576965,6.75,5.625,1537.1251042836814,204.63668795465372,True,5.84615384615384,6.75,8.375,6.375,3.125,1.9003760118418391,-2.9230769230769234,1.8909280029909326,0.5120031334693103,-0.04211148535012654,1.9764076941509643,1.4210187757720272
30,C,Scotland,Morocco,0.2828577718411049,0.30000000000000004,0.4171422281588952,0.28319523806579056,0.30683727105204356,0.4099674908821659,0.27099744871264786,0.3293512394440541,0.3996513118432981,0.27340420272752586,0.2836537320489009,0.44294206522357327,0.4227657425462711,0.5772342574537289,0.4663599023505538,1.220931103069925,1.5528401124313513,-0.0025,5.875,6.0,0.0,0.0,True,-2.92307692307692,-5.25,-0.5,-3.125,-4.400000000000006,-0.6635046310007588,1.0769230769230766,-0.22522712608842,0.14672419610908616,0.1771876988001031,-0.15914012207237604,0.20966570792347738
31,C,Brazil,Haiti,0.8114545898976606,0.1321343749471183,0.05641103515522107,0.8230158938671506,0.12457746197705644,0.05240664415579302,0.8114545898976606,0.1321343749471183,0.056411035155221036,0.8428554779909874,0.11501979859085237,0.042124723418160315,0.9069026473681797,0.09309735263182028,0.7223559918357239,2.8422250008256116,0.4705337504932332,0.008283755516016789,6.125,6.0,0.0,449.8476512457503,True,17.120879120879124,16.0,16.25,18.875,12.625,4.1574026475408274,-0.3241758241758248,2.9348893121972175,0.018200704646846866,1.7085819627491468,3.7835120546732632,4.143285886546004
32,D,Türkiye,Paraguay,0.39265611347841123,0.3,0.3073438865215887,0.40004169940948486,0.296429380774498,0.30352891981601715,0.391358550467769,0.3023132050572275,0.30632824447500356,0.3909138227372375,0.28594526562157074,0.32314091164119174,0.5526674856523217,0.4473325143476783,0.5333712405797014,1.4845616563847668,1.1594132042975744,-0.03207952457518012,6.0,7.125,1288.7366730054214,543.6625393803009,True,4.230769230769226,4.25,5.875,3.25,8.25,1.3596958909910803,-2.3076923076923066,0.8587593005845235,0.8052819341909201,0.5152504097463462,1.1292242457708817,3.0044124403852575
33,F,Netherlands,Sweden,0.6687698043635248,0.22958102870300745,0.10164916693346772,0.6814545189900839,0.21873404923873993,0.0998114317711761,0.668769804363525,0.22958102870300745,0.10164916693346768,0.601112542487068,0.24705812121960202,0.15182933629333,0.8095750084387578,0.19042499156124215,0.6133137605955354,2.0192127964442688,0.8806545627575328,0.009701803349260543,5.875,5.583333333333333,361.6301746274515,662.5111758662339,True,5.038461538461533,1.25,6.0,7.875,5.25,0.5669537278659327,1.1153846153846132,0.577180286952597,0.19116558159040764,0.1530511744938412,0.6472731399883713,0.6673134717645661
34,E,Germany,Côte d'Ivoire,0.6321587371990509,0.21770348467832976,0.15013777812261928,0.6447742187265423,0.2053907408507058,0.1498350404227519,0.6321587371990509,0.21770348467832976,0.15013777812261933,0.6470362042529297,0.21644920997718842,0.13651458576988182,0.7701372680232121,0.22986273197678786,0.6337910990631728,2.2158028870469515,0.8469401311240092,-0.01514807823669139,6.083333333333333,5.875,2059.6824410956074,557.424504167759,True,6.461538461538467,5.625,6.625,5.5,8.5,1.0169506308918095,2.73076923076923,0.29320186536279635,0.41040338974874757,0.2094406261478845,0.6072919830695902,1.7761534030119037
35,E,Ecuador,Curaçao,0.8036581991520688,0.13105078072992762,0.06529102011800356,0.7900088076289531,0.14232604314419434,0.06766514922685254,0.8036581991520687,0.13105078072992762,0.06529102011800354,0.8832839321648248,0.08866064263101675,0.028055425204158352,0.8951751894307703,0.10482481056922965,0.698332278289145,2.694268122615981,0.5960813958112401,-0.012267145256167657,6.083333333333333,6.291666666666667,1666.5320280640094,1036.4948044361556,True,9.043589743589749,8.475000000000001,8.75,10.92857142857143,7.25,2.7275500698822057,4.8948717948717935,0.5882561185793733,-0.025519726208095506,0.6788235282066353,-0.49540090128691006,0.3499859557879361
36,F,Tunisia,Japan,0.15317210879905352,0.24591665817514194,0.6009112330258045,0.1498638648509353,0.23834308024517625,0.6117930549038885,0.15317210879905352,0.24591665817514194,0.6009112330258046,0.1721191245559836,0.23875618220578443,0.5891246932382319,0.24653864372437528,0.7534613562756247,0.37966738657787913,0.8402078626814855,2.049151888263203,0.005039649447739679,6.083333333333333,6.375,0.0,845.6764385279015,True,-7.769230769230759,-8.125,-6.25,-6.625,5.1590909090909065,-1.4491522340100929,-1.4615384615384635,-1.2348321177807158,-0.5385776525590238,-0.42749243042645446,-1.0761826164921722,-1.7243886581129715
37,H,Spain,Saudi Arabia,0.8653965054144334,0.08492223275696069,0.04968126182860597,0.8700679508221598,0.08169057189788456,0.048241477279955605,0.8653965054144332,0.08492223275696069,0.04968126182860602,0.9027183880051829,0.07612935443802439,0.021152257556792734,0.9289398721990514,0.07106012780094861,0.7482536047594639,3.0705251600466106,0.3705237034200545,0.017334098319072826,6.0,5.75,0.0,959.3187581501088,True,13.807692307692307,13.375,12.75,12.625,19.25,2.847708831351156,-0.9615384615384599,5.4507242453428155,2.705897347741109,2.653068066684857,6.270680733976427,6.297675811947386
38,G,Belgium,IR Iran,0.4636076601241585,0.30000000000000004,0.23639233987584157,0.4530552504625767,0.3064384575820889,0.24050629195533443,0.45641192357779176,0.3108648238924866,0.23272325252972173,0.5077866941981698,0.2641943245964667,0.2280189812053636,0.6390841687687319,0.36091583123126814,0.584921695481911,1.8841145353327482,1.0320885926182544,-0.014763037055075902,6.0,5.75,1537.1251042836814,0.0,True,9.692307692307693,7.416666666666671,11.833333333333329,9.625,11.5,3.460519804536478,-2.73076923076923,2.9403596932660463,0.09470795154161848,0.18392283816092814,2.744976005206432,3.4456129116925407
39,H,Uruguay,Cabo Verde,0.7757409521157321,0.13783083215158232,0.0864282157326856,0.7767225061222444,0.13147338234869052,0.09180411152906508,0.775740952115732,0.13783083215158232,0.08642821573268553,0.793488689987946,0.14507486303188122,0.06143644698017277,0.8714149637737584,0.12858503622624162,0.6941408548764094,2.4897515682432685,0.49569819014433825,0.007334098319072827,6.0,6.25,0.0,959.3187581501088,True,10.538461538461547,7.375,10.875,11.25,-0.75,2.0600234409073686,2.4615384615384635,1.320777839419911,0.47129717095802626,-0.00848443192187176,1.0366337004461812,0.5407026946289353
40,G,New Zealand,Egypt,0.19236555178521397,0.22286570910899278,0.5847687391057933,0.19372161165747667,0.21218514171656538,0.594093246625958,0.19236555178521397,0.22286570910899278,0.5847687391057933,0.20456354998066006,0.2517806871652791,0.5436557628540608,0.2839342798482636,0.7160657201517364,0.41086952510162866,1.0022095897437593,1.8952255499486577,-0.024756195474166135,6.0,6.25,1741.2296692786865,204.63668795465372,True,-3.2538461538461547,-5.974999999999994,-6.166666666666671,-1.875,-9.224999999999994,-0.9494985120767048,-0.43076923076922924,-1.2768377521624217,-0.3777463385863369,0.3318029674375289,-0.7489825442314597,0.12107793155323598
